job_id,potential_skill_entity,context_sentence
9,Asbjoern,"We review applications based on competencies and experience, so please do tell us about your favourite projects and technologies!‍ After we review your application, you can expect to go through the following conversations: Introductory chat with one of our recruiters to ensure that we are aligned on the scope of the role and that all of your questions are answered Meet our Head of Product, Izzy, or our CEO & Co-founder, Asbjoern A take-home test assignment to see your skills in action Discuss and present your test solutions with the hiring team and ensure there is good chemistry between you too We are pretty thorough with our hiring process."
9,Tactilers,It is important to us that we choose new Tactilers carefully - just as it is vital to ensure that we are the right place for you.‍ We want to ensure you have a great candidate experience whilst in our recruitment process.
10,Business Support & Administration,"Product Manager Category: Business Support & Administration Location: Bagsværd, Capital Region of Denmark, DK Are you ready be one of the key drivers in managing our access control systems?"
10,Novo Nordisk,Join us as a Product Manager in Novo Nordisk Denmark and lead the innovation in Physical Access Management Systems at Novo Nordisk.
10,Physical Access Management Systems,Join us as a Product Manager in Novo Nordisk Denmark and lead the innovation in Physical Access Management Systems at Novo Nordisk.
10,Novo Nordisk,Join us as a Product Manager in Novo Nordisk Denmark and lead the innovation in Physical Access Management Systems at Novo Nordisk.
10,Physical Access Management Systems,The position We are seeking a detail-oriented and structured Product Manager to support our Product Owner with the development and maintenance of our Physical Access Management Systems at Novo Nordisk in Denmark.
10,Novo Nordisk,The position We are seeking a detail-oriented and structured Product Manager to support our Product Owner with the development and maintenance of our Physical Access Management Systems at Novo Nordisk in Denmark.
10,PACS,"This role will encompass overseeing both our current systems and the integration of PACS, our new GxP-compliant physical access management system."
10,GxP,"This role will encompass overseeing both our current systems and the integration of PACS, our new GxP-compliant physical access management system."
10,Physical Access Management Solutions,"As the Product Manager for our Physical Access Management Solutions, you will act as a crucial bridge between IT and our Corporate Facilities team, ensuring the implementation of sound IT practices and controls that enhance overall operations."
10,Corporate Facilities,"As the Product Manager for our Physical Access Management Solutions, you will act as a crucial bridge between IT and our Corporate Facilities team, ensuring the implementation of sound IT practices and controls that enhance overall operations."
10,GxP,"Additionally, you will be part of a larger team, facilitating dialogues with our IT QA to ensure ongoing GxP compliance."
10,Develop,"Some of your responsibilities will be: Develop and implement a clear product vision and strategy for physical access management, ensuring alignment in collaboration with Business Owners and smooth integration of solutions into operations."
10,Business Owners,"Some of your responsibilities will be: Develop and implement a clear product vision and strategy for physical access management, ensuring alignment in collaboration with Business Owners and smooth integration of solutions into operations."
10,Corporate Facilities,"Lead strategic initiatives within Corporate Facilities, ensuring successful execution and delivery by employing agile project management best practices."
10,life sciences,Having prior experience working with IT in a regulated environment such as finance or life sciences is beneficial.
10,English,"While English language will be mandatory to succeed in this position, fluency in Danish will not be a requirement but highly taken in consideration."
10,Danish,"While English language will be mandatory to succeed in this position, fluency in Danish will not be a requirement but highly taken in consideration."
10,The Corporate Facilities,"About the Department The Corporate Facilities is a department of almost 400 employees, that ensure well-functioning corporate infrastructure, and a safe and engaging workplace for more than 30,000+ colleagues across our Danish sites."
10,Danish,"About the Department The Corporate Facilities is a department of almost 400 employees, that ensure well-functioning corporate infrastructure, and a safe and engaging workplace for more than 30,000+ colleagues across our Danish sites."
10,Digital Operations,"In Digital Operations, we are responsible for managing the daily IT solutions that drive all our physical security operations."
10,Novo Nordisk,"Our dedication to quality service not only safeguards our physical assets but also contributes to the overall security and integrity of Novo Nordisk  Contact For further information, please contact Senad Midusic, Head of Digital Operations at ZSNM@novonordisk.com  Deadline Please apply before 2th June."
10,Digital Operations,"Our dedication to quality service not only safeguards our physical assets but also contributes to the overall security and integrity of Novo Nordisk  Contact For further information, please contact Senad Midusic, Head of Digital Operations at ZSNM@novonordisk.com  Deadline Please apply before 2th June."
10,CV,"You do not need to attach a cover letter to your application, but please include a few sentences about why you are applying in your resume or CV. To ensure an efficient and fair recruitment process, please refrain from adding a photo in your CV."
10,CV,"You do not need to attach a cover letter to your application, but please include a few sentences about why you are applying in your resume or CV. To ensure an efficient and fair recruitment process, please refrain from adding a photo in your CV."
10,English,Please note that only applications in English will be considered.
10,Novo Nordisk,Working at Novo Nordisk Novo Nordisk is a leading global healthcare company with a 100-year legacy of driving change to defeat serious chronic diseases.
10,Novo Nordisk,Working at Novo Nordisk Novo Nordisk is a leading global healthcare company with a 100-year legacy of driving change to defeat serious chronic diseases.
10,Novo Nordisk,At Novo Nordisk we recognize that it is no longer good enough to aspire to be the best company in the world.
11,Som Junior,Som Junior Product Manager får du en unik mulighed for at være med til at udvikle og drive vores produktportefølje – fra brainstorm til lancering.
11,være med til,Som Junior Product Manager får du en unik mulighed for at være med til at udvikle og drive vores produktportefølje – fra brainstorm til lancering.
11,Du kommer tæt på hele processen og får ansvar,Du kommer tæt på hele processen og får ansvar for både planlægning og udførelse af produkt-
11,både planlægning og udførelse af produkt-,Du kommer tæt på hele processen og får ansvar for både planlægning og udførelse af produkt-
11,mellem de kommercielle og tekniske afdelinger,og i udlandet – og bliver bindeleddet mellem de kommercielle og tekniske afdelinger.
11,af strategi og udvikling af koncepter,"arbejde med: Ejerskab af et eller flere produktområder på tværs af privat- og erhvervsmarkedet Alle dele af udviklingsprocessen fra udarbejdelse af strategi og udvikling af koncepter til eksekvering af konkrete tiltag Projektledelse, koordination og opfølgning på tværs"
11,af hele organisationen,"af hele organisationen Rapportering og markedsindsigter til ledelsen Kravspecificering og tæt sparring med IT og udvikling Du er ikke alene Vi forventer ikke, at du kan det hele fra dag ét."
11,Rapportering og,"af hele organisationen Rapportering og markedsindsigter til ledelsen Kravspecificering og tæt sparring med IT og udvikling Du er ikke alene Vi forventer ikke, at du kan det hele fra dag ét."
11,du kan det hele fra dag ét,"af hele organisationen Rapportering og markedsindsigter til ledelsen Kravspecificering og tæt sparring med IT og udvikling Du er ikke alene Vi forventer ikke, at du kan det hele fra dag ét."
11,Du har en stor interesse,"Hvem er du? Du har en stor interesse for udvikling af nye produkter og services Du er struktureret og har en analytisk tilgang til dine opgaver Du trives med at være både igangsætter og koordinator i større projekter Du har naturlig interesse for trends inden for abonnementer, mobilløsninger og tech Du har gerne mindst 2 års erfaring fra telebranchen – eller en lignende"
11,være både igangsætter og,"Hvem er du? Du har en stor interesse for udvikling af nye produkter og services Du er struktureret og har en analytisk tilgang til dine opgaver Du trives med at være både igangsætter og koordinator i større projekter Du har naturlig interesse for trends inden for abonnementer, mobilløsninger og tech Du har gerne mindst 2 års erfaring fra telebranchen – eller en lignende"
11,Du har naturlig interesse,"Hvem er du? Du har en stor interesse for udvikling af nye produkter og services Du er struktureret og har en analytisk tilgang til dine opgaver Du trives med at være både igangsætter og koordinator i større projekter Du har naturlig interesse for trends inden for abonnementer, mobilløsninger og tech Du har gerne mindst 2 års erfaring fra telebranchen – eller en lignende"
11,Du har gerne,"Hvem er du? Du har en stor interesse for udvikling af nye produkter og services Du er struktureret og har en analytisk tilgang til dine opgaver Du trives med at være både igangsætter og koordinator i større projekter Du har naturlig interesse for trends inden for abonnementer, mobilløsninger og tech Du har gerne mindst 2 års erfaring fra telebranchen – eller en lignende"
11,Du bliver en del af noget helt,kommerciel rolle Du bliver en del af noget helt særligt Hos 3 får du billet
11,og du vil få en hverdag,"Du bliver del af en virksomhed, præget af mangfoldighed og mange forskellige personligheder, og du vil få en hverdag fyldt med både humor og ambitioner."
11,fyldt med både humor og,"Du bliver del af en virksomhed, præget af mangfoldighed og mange forskellige personligheder, og du vil få en hverdag fyldt med både humor og ambitioner."
11,idérigdom og store,"Vi har – ligesom dig – gejst og viljen til at lykkes, og vi har både plads til forskellighed, idérigdom og store drømme."
11,og ikke mindst et,"Vi tilbyder gode udviklingsmuligheder og medarbejderfordele og ikke mindst et stærkt kollegaskab, hvor den enkelte medarbejders trivsel og udvikling vægtes meget højt."
11,meget højt,"Vi tilbyder gode udviklingsmuligheder og medarbejderfordele og ikke mindst et stærkt kollegaskab, hvor den enkelte medarbejders trivsel og udvikling vægtes meget højt."
11,Ansøgning og kontakt,"Ansøgning og kontakt Har du lyst til at blive en del af 3, så send din ansøgning og CV hurtigst muligt."
11,blive en del af 3,"Ansøgning og kontakt Har du lyst til at blive en del af 3, så send din ansøgning og CV hurtigst muligt."
11,så kontakt,"Har du spørgsmål til stillingen, så kontakt Manager Product Office, Claes Uldal på 31200525."
11,Product Office,"Har du spørgsmål til stillingen, så kontakt Manager Product Office, Claes Uldal på 31200525."
11,være kunde,"Vi vil også være dét teleselskab, hvor det er nemt og bekymringsfrit at være kunde, fordi tingene bare spiller."
11,være skarpe,"Vi når målet ved at være skarpe, hurtige og kreative."
11,af en vilje,Kulturen i 3 er præget af en vilje til at skabe resultater.
11,kreativitet og innovation,"Vi oplever, at mangfoldighed fremmer vores kreativitet og innovation, og vi opfordrer derfor alle uanset alder, køn, religion og etnisk tilhørsforhold til at søge job hos os."
11,derfor alle uanset alder,"Vi oplever, at mangfoldighed fremmer vores kreativitet og innovation, og vi opfordrer derfor alle uanset alder, køn, religion og etnisk tilhørsforhold til at søge job hos os."
11,os på,Læs mere om os på www.3.dk/om3.
11,Ansøgningsfrist,Ansøgningsfrist: 30-06-2025 Stillingskategori: Koordinator (administration)
11,Hovedkontor - København V,Stillingstype: Fuldtid Arbejdssted: Hovedkontor - København V Kontakt
11,Kontakt,Stillingstype: Fuldtid Arbejdssted: Hovedkontor - København V Kontakt
12,Join Auditdata's Professional Services,"Location: Copenhagen, DK About the role: Join Auditdata's Professional Services team as a Senior Project Manager."
12,SaaS,"You will play a pivotal role in delivering tailored solutions built on our SaaS platform, primarily for our enterprise clients across EMEA."
12,EMEA,"You will play a pivotal role in delivering tailored solutions built on our SaaS platform, primarily for our enterprise clients across EMEA."
12,Project Managers,This multifaceted position involves directly managing customer projects and leading a team of regional Project Managers.
12,Professional Services,"Furthermore, you will work closely with the Director of Professional Services, contributing to the department's strategic initiatives."
12,ERP,"What you will do: Lead the full project lifecycle from planning and execution to successful delivery, all in line with Statement of Work Be the main point of contact for clients, ensuring clear, ongoing communication to manage expectations and understand their business needs Work closely with clients and internal teams to estimate scope, build detailed plans, allocate resources, manage risks, and control budgets Deliver high-quality solutions on time and within budget, coordinating smoothly across international teams Keep everyone in the loop with clear updates on project status, timelines, and budget Continuously improve our project management processes and tools to boost efficiency and enhance customer delivery Key expertise and skills: 5+ years of hands-on experience managing software development and delivery projects Proven success in driving large-scale enterprise solutions (e.g., ERP, CRM) Solid understanding of the full product development lifecycle Skilled at working with global enterprise clients and international partners Strong command of Agile, PRINCE2, and/or PMI methodologies Confident using tools like Azure DevOps and Jira to manage delivery, budgets, timelines, and team workflows Bachelor’s degree in a relevant field Fluent in English Nice to have: Project Management certification (PMP, PRINCE2 or similar) Experience in healthcare industry Key traits: Being naturally curious to understand technical solutions within hearing aids production and audiology industry and how they create value for the end-users Strong communication and negotiation skills Consultancy approach with strong focus on building trusted relationship with customers Highly organized, results-oriented, and adept at managing multiple tasks effectively What’s in it for you: Long-term, secure engagement in the stable product development company High business standards environment Great company values and ethics Flexibility and flat management structure Learning opportunities and professional development (incl."
12,CRM,"What you will do: Lead the full project lifecycle from planning and execution to successful delivery, all in line with Statement of Work Be the main point of contact for clients, ensuring clear, ongoing communication to manage expectations and understand their business needs Work closely with clients and internal teams to estimate scope, build detailed plans, allocate resources, manage risks, and control budgets Deliver high-quality solutions on time and within budget, coordinating smoothly across international teams Keep everyone in the loop with clear updates on project status, timelines, and budget Continuously improve our project management processes and tools to boost efficiency and enhance customer delivery Key expertise and skills: 5+ years of hands-on experience managing software development and delivery projects Proven success in driving large-scale enterprise solutions (e.g., ERP, CRM) Solid understanding of the full product development lifecycle Skilled at working with global enterprise clients and international partners Strong command of Agile, PRINCE2, and/or PMI methodologies Confident using tools like Azure DevOps and Jira to manage delivery, budgets, timelines, and team workflows Bachelor’s degree in a relevant field Fluent in English Nice to have: Project Management certification (PMP, PRINCE2 or similar) Experience in healthcare industry Key traits: Being naturally curious to understand technical solutions within hearing aids production and audiology industry and how they create value for the end-users Strong communication and negotiation skills Consultancy approach with strong focus on building trusted relationship with customers Highly organized, results-oriented, and adept at managing multiple tasks effectively What’s in it for you: Long-term, secure engagement in the stable product development company High business standards environment Great company values and ethics Flexibility and flat management structure Learning opportunities and professional development (incl."
12,PMI,"What you will do: Lead the full project lifecycle from planning and execution to successful delivery, all in line with Statement of Work Be the main point of contact for clients, ensuring clear, ongoing communication to manage expectations and understand their business needs Work closely with clients and internal teams to estimate scope, build detailed plans, allocate resources, manage risks, and control budgets Deliver high-quality solutions on time and within budget, coordinating smoothly across international teams Keep everyone in the loop with clear updates on project status, timelines, and budget Continuously improve our project management processes and tools to boost efficiency and enhance customer delivery Key expertise and skills: 5+ years of hands-on experience managing software development and delivery projects Proven success in driving large-scale enterprise solutions (e.g., ERP, CRM) Solid understanding of the full product development lifecycle Skilled at working with global enterprise clients and international partners Strong command of Agile, PRINCE2, and/or PMI methodologies Confident using tools like Azure DevOps and Jira to manage delivery, budgets, timelines, and team workflows Bachelor’s degree in a relevant field Fluent in English Nice to have: Project Management certification (PMP, PRINCE2 or similar) Experience in healthcare industry Key traits: Being naturally curious to understand technical solutions within hearing aids production and audiology industry and how they create value for the end-users Strong communication and negotiation skills Consultancy approach with strong focus on building trusted relationship with customers Highly organized, results-oriented, and adept at managing multiple tasks effectively What’s in it for you: Long-term, secure engagement in the stable product development company High business standards environment Great company values and ethics Flexibility and flat management structure Learning opportunities and professional development (incl."
12,Azure DevOps,"What you will do: Lead the full project lifecycle from planning and execution to successful delivery, all in line with Statement of Work Be the main point of contact for clients, ensuring clear, ongoing communication to manage expectations and understand their business needs Work closely with clients and internal teams to estimate scope, build detailed plans, allocate resources, manage risks, and control budgets Deliver high-quality solutions on time and within budget, coordinating smoothly across international teams Keep everyone in the loop with clear updates on project status, timelines, and budget Continuously improve our project management processes and tools to boost efficiency and enhance customer delivery Key expertise and skills: 5+ years of hands-on experience managing software development and delivery projects Proven success in driving large-scale enterprise solutions (e.g., ERP, CRM) Solid understanding of the full product development lifecycle Skilled at working with global enterprise clients and international partners Strong command of Agile, PRINCE2, and/or PMI methodologies Confident using tools like Azure DevOps and Jira to manage delivery, budgets, timelines, and team workflows Bachelor’s degree in a relevant field Fluent in English Nice to have: Project Management certification (PMP, PRINCE2 or similar) Experience in healthcare industry Key traits: Being naturally curious to understand technical solutions within hearing aids production and audiology industry and how they create value for the end-users Strong communication and negotiation skills Consultancy approach with strong focus on building trusted relationship with customers Highly organized, results-oriented, and adept at managing multiple tasks effectively What’s in it for you: Long-term, secure engagement in the stable product development company High business standards environment Great company values and ethics Flexibility and flat management structure Learning opportunities and professional development (incl."
12,Bachelor,"What you will do: Lead the full project lifecycle from planning and execution to successful delivery, all in line with Statement of Work Be the main point of contact for clients, ensuring clear, ongoing communication to manage expectations and understand their business needs Work closely with clients and internal teams to estimate scope, build detailed plans, allocate resources, manage risks, and control budgets Deliver high-quality solutions on time and within budget, coordinating smoothly across international teams Keep everyone in the loop with clear updates on project status, timelines, and budget Continuously improve our project management processes and tools to boost efficiency and enhance customer delivery Key expertise and skills: 5+ years of hands-on experience managing software development and delivery projects Proven success in driving large-scale enterprise solutions (e.g., ERP, CRM) Solid understanding of the full product development lifecycle Skilled at working with global enterprise clients and international partners Strong command of Agile, PRINCE2, and/or PMI methodologies Confident using tools like Azure DevOps and Jira to manage delivery, budgets, timelines, and team workflows Bachelor’s degree in a relevant field Fluent in English Nice to have: Project Management certification (PMP, PRINCE2 or similar) Experience in healthcare industry Key traits: Being naturally curious to understand technical solutions within hearing aids production and audiology industry and how they create value for the end-users Strong communication and negotiation skills Consultancy approach with strong focus on building trusted relationship with customers Highly organized, results-oriented, and adept at managing multiple tasks effectively What’s in it for you: Long-term, secure engagement in the stable product development company High business standards environment Great company values and ethics Flexibility and flat management structure Learning opportunities and professional development (incl."
12,Fluent,"What you will do: Lead the full project lifecycle from planning and execution to successful delivery, all in line with Statement of Work Be the main point of contact for clients, ensuring clear, ongoing communication to manage expectations and understand their business needs Work closely with clients and internal teams to estimate scope, build detailed plans, allocate resources, manage risks, and control budgets Deliver high-quality solutions on time and within budget, coordinating smoothly across international teams Keep everyone in the loop with clear updates on project status, timelines, and budget Continuously improve our project management processes and tools to boost efficiency and enhance customer delivery Key expertise and skills: 5+ years of hands-on experience managing software development and delivery projects Proven success in driving large-scale enterprise solutions (e.g., ERP, CRM) Solid understanding of the full product development lifecycle Skilled at working with global enterprise clients and international partners Strong command of Agile, PRINCE2, and/or PMI methodologies Confident using tools like Azure DevOps and Jira to manage delivery, budgets, timelines, and team workflows Bachelor’s degree in a relevant field Fluent in English Nice to have: Project Management certification (PMP, PRINCE2 or similar) Experience in healthcare industry Key traits: Being naturally curious to understand technical solutions within hearing aids production and audiology industry and how they create value for the end-users Strong communication and negotiation skills Consultancy approach with strong focus on building trusted relationship with customers Highly organized, results-oriented, and adept at managing multiple tasks effectively What’s in it for you: Long-term, secure engagement in the stable product development company High business standards environment Great company values and ethics Flexibility and flat management structure Learning opportunities and professional development (incl."
12,English,"What you will do: Lead the full project lifecycle from planning and execution to successful delivery, all in line with Statement of Work Be the main point of contact for clients, ensuring clear, ongoing communication to manage expectations and understand their business needs Work closely with clients and internal teams to estimate scope, build detailed plans, allocate resources, manage risks, and control budgets Deliver high-quality solutions on time and within budget, coordinating smoothly across international teams Keep everyone in the loop with clear updates on project status, timelines, and budget Continuously improve our project management processes and tools to boost efficiency and enhance customer delivery Key expertise and skills: 5+ years of hands-on experience managing software development and delivery projects Proven success in driving large-scale enterprise solutions (e.g., ERP, CRM) Solid understanding of the full product development lifecycle Skilled at working with global enterprise clients and international partners Strong command of Agile, PRINCE2, and/or PMI methodologies Confident using tools like Azure DevOps and Jira to manage delivery, budgets, timelines, and team workflows Bachelor’s degree in a relevant field Fluent in English Nice to have: Project Management certification (PMP, PRINCE2 or similar) Experience in healthcare industry Key traits: Being naturally curious to understand technical solutions within hearing aids production and audiology industry and how they create value for the end-users Strong communication and negotiation skills Consultancy approach with strong focus on building trusted relationship with customers Highly organized, results-oriented, and adept at managing multiple tasks effectively What’s in it for you: Long-term, secure engagement in the stable product development company High business standards environment Great company values and ethics Flexibility and flat management structure Learning opportunities and professional development (incl."
12,PMP,"What you will do: Lead the full project lifecycle from planning and execution to successful delivery, all in line with Statement of Work Be the main point of contact for clients, ensuring clear, ongoing communication to manage expectations and understand their business needs Work closely with clients and internal teams to estimate scope, build detailed plans, allocate resources, manage risks, and control budgets Deliver high-quality solutions on time and within budget, coordinating smoothly across international teams Keep everyone in the loop with clear updates on project status, timelines, and budget Continuously improve our project management processes and tools to boost efficiency and enhance customer delivery Key expertise and skills: 5+ years of hands-on experience managing software development and delivery projects Proven success in driving large-scale enterprise solutions (e.g., ERP, CRM) Solid understanding of the full product development lifecycle Skilled at working with global enterprise clients and international partners Strong command of Agile, PRINCE2, and/or PMI methodologies Confident using tools like Azure DevOps and Jira to manage delivery, budgets, timelines, and team workflows Bachelor’s degree in a relevant field Fluent in English Nice to have: Project Management certification (PMP, PRINCE2 or similar) Experience in healthcare industry Key traits: Being naturally curious to understand technical solutions within hearing aids production and audiology industry and how they create value for the end-users Strong communication and negotiation skills Consultancy approach with strong focus on building trusted relationship with customers Highly organized, results-oriented, and adept at managing multiple tasks effectively What’s in it for you: Long-term, secure engagement in the stable product development company High business standards environment Great company values and ethics Flexibility and flat management structure Learning opportunities and professional development (incl."
12,PRINCE2,"What you will do: Lead the full project lifecycle from planning and execution to successful delivery, all in line with Statement of Work Be the main point of contact for clients, ensuring clear, ongoing communication to manage expectations and understand their business needs Work closely with clients and internal teams to estimate scope, build detailed plans, allocate resources, manage risks, and control budgets Deliver high-quality solutions on time and within budget, coordinating smoothly across international teams Keep everyone in the loop with clear updates on project status, timelines, and budget Continuously improve our project management processes and tools to boost efficiency and enhance customer delivery Key expertise and skills: 5+ years of hands-on experience managing software development and delivery projects Proven success in driving large-scale enterprise solutions (e.g., ERP, CRM) Solid understanding of the full product development lifecycle Skilled at working with global enterprise clients and international partners Strong command of Agile, PRINCE2, and/or PMI methodologies Confident using tools like Azure DevOps and Jira to manage delivery, budgets, timelines, and team workflows Bachelor’s degree in a relevant field Fluent in English Nice to have: Project Management certification (PMP, PRINCE2 or similar) Experience in healthcare industry Key traits: Being naturally curious to understand technical solutions within hearing aids production and audiology industry and how they create value for the end-users Strong communication and negotiation skills Consultancy approach with strong focus on building trusted relationship with customers Highly organized, results-oriented, and adept at managing multiple tasks effectively What’s in it for you: Long-term, secure engagement in the stable product development company High business standards environment Great company values and ethics Flexibility and flat management structure Learning opportunities and professional development (incl."
12,trainings & courses,"related certifications, paid trainings & courses) Hybrid work model You don’t match the description 100%?"
12,CV,(please submit your CV in English)
12,English,(please submit your CV in English)
12,Auditdata,Auditdata is a proud Danish company that delivers software-as-a-service (SaaS) and hardware solutions to audiologists and hearing clinics.
12,Danish,Auditdata is a proud Danish company that delivers software-as-a-service (SaaS) and hardware solutions to audiologists and hearing clinics.
12,SaaS,Auditdata is a proud Danish company that delivers software-as-a-service (SaaS) and hardware solutions to audiologists and hearing clinics.
13,"DRTV

Vil du være med til",DR søger en Lead Product Manager til at udvikle fremtidens DRTV  Vil du være med til at drive udviklingen af DRTV – alle danskeres streamingtjeneste?
13,af DRTV,DR søger en Lead Product Manager til at udvikle fremtidens DRTV  Vil du være med til at drive udviklingen af DRTV – alle danskeres streamingtjeneste?
13,som indfrier brugernes forventninger,"Og drømmer du om at skabe et digitalt produkt, som indfrier brugernes forventninger?  Som Lead Product Manager står du i spidsen for udviklingen af DRTV på tværs af platforme og bidrager til, at DR arbejder mod fælles mål for DRTV."
13,af DRTV på,"Og drømmer du om at skabe et digitalt produkt, som indfrier brugernes forventninger?  Som Lead Product Manager står du i spidsen for udviklingen af DRTV på tværs af platforme og bidrager til, at DR arbejder mod fælles mål for DRTV."
13,DR arbejder,"Og drømmer du om at skabe et digitalt produkt, som indfrier brugernes forventninger?  Som Lead Product Manager står du i spidsen for udviklingen af DRTV på tværs af platforme og bidrager til, at DR arbejder mod fælles mål for DRTV."
13,DRTV,"Og drømmer du om at skabe et digitalt produkt, som indfrier brugernes forventninger?  Som Lead Product Manager står du i spidsen for udviklingen af DRTV på tværs af platforme og bidrager til, at DR arbejder mod fælles mål for DRTV."
13,redaktører og,"delivery managers, udviklingsteams, analytikere, redaktører og indholdsproducenter for at skabe en enestående brugeroplevelse for danske streamere."
13,danske streamere,"delivery managers, udviklingsteams, analytikere, redaktører og indholdsproducenter for at skabe en enestående brugeroplevelse for danske streamere."
13,Du bliver en del af,"Du bliver en del af afdelingen Product Management, der er kendetegnet ved en stor digital faglighed, uformel tone, et stærkt samarbejde med fokus på feedback og udvikling, samt en klar fælles ambition om at få DR til at lykkes med at levere public service digitalt."
13,Product Management,"Du bliver en del af afdelingen Product Management, der er kendetegnet ved en stor digital faglighed, uformel tone, et stærkt samarbejde med fokus på feedback og udvikling, samt en klar fælles ambition om at få DR til at lykkes med at levere public service digitalt."
13,med fokus på feedback og udvikling,"Du bliver en del af afdelingen Product Management, der er kendetegnet ved en stor digital faglighed, uformel tone, et stærkt samarbejde med fokus på feedback og udvikling, samt en klar fælles ambition om at få DR til at lykkes med at levere public service digitalt."
13,samt en klar,"Du bliver en del af afdelingen Product Management, der er kendetegnet ved en stor digital faglighed, uformel tone, et stærkt samarbejde med fokus på feedback og udvikling, samt en klar fælles ambition om at få DR til at lykkes med at levere public service digitalt."
13,med DRTV,"Organisering  Product Management er organisatorisk placeret i DR Teknologi og består af otte product managere, heraf to der arbejder med DRTV, tre konsulenter og en produktanalytiker."
13,DRTV,"Arbejdet med DR’s digitale produkter er forankret i fire produktgrupper: DRTV, DR LYD, dr.dk og børneapps."
13,dr.dk og,"Arbejdet med DR’s digitale produkter er forankret i fire produktgrupper: DRTV, DR LYD, dr.dk og børneapps."
13,understøtte implementeringen af DR’s,Produktgrupperne har til opgave at understøtte implementeringen af DR’s virksomhedsstrategi ved at varetage den løbende udvikling af DR’s digitale produktportefølje.
13,derfor en helt central rolle,Product Management indgår i formandskabet for produktgrupperne og spiller derfor en helt central rolle
13,digitale omstilling og,i DR’s digitale omstilling og i at sikre den løbende fremdrift i produktgruppernes arbejde.
13,af hele DR,og sker i tæt dialog med samarbejdspartnere på tværs af hele DR.
13,sikre,"Opgaver og ansvar  Som Lead Product Manager bliver dit ansvar at sikre, at DRTV opfylder brugerbehov, forretningsmål og markedskrav."
13,DRTV,"Opgaver og ansvar  Som Lead Product Manager bliver dit ansvar at sikre, at DRTV opfylder brugerbehov, forretningsmål og markedskrav."
13,"brugerbehov, forretningsmål og markedskrav","Opgaver og ansvar  Som Lead Product Manager bliver dit ansvar at sikre, at DRTV opfylder brugerbehov, forretningsmål og markedskrav."
13,Udvikle,"få ansvar for at:   Udvikle produktstrategien og sætte de overordnede mål for DRTV, så de understøtter DR’s virksomhedsstrategi Udarbejde og vedligeholde DRTV’s samlede strategiske roadmap, herunder sikre sammenhæng i roadmap på tværs af det brugervendte produkt og platform/CMS Udarbejde og prioritere milepæle og acceptkriterier for de tekniske udviklingsteams, samt sikre at milepæle opfylder brugerbehov, forretningsmål og markedskrav Vedligeholde produktets backlog og prioritere denne ift."
13,DRTV,"få ansvar for at:   Udvikle produktstrategien og sætte de overordnede mål for DRTV, så de understøtter DR’s virksomhedsstrategi Udarbejde og vedligeholde DRTV’s samlede strategiske roadmap, herunder sikre sammenhæng i roadmap på tværs af det brugervendte produkt og platform/CMS Udarbejde og prioritere milepæle og acceptkriterier for de tekniske udviklingsteams, samt sikre at milepæle opfylder brugerbehov, forretningsmål og markedskrav Vedligeholde produktets backlog og prioritere denne ift."
13,Udarbejde og,"få ansvar for at:   Udvikle produktstrategien og sætte de overordnede mål for DRTV, så de understøtter DR’s virksomhedsstrategi Udarbejde og vedligeholde DRTV’s samlede strategiske roadmap, herunder sikre sammenhæng i roadmap på tværs af det brugervendte produkt og platform/CMS Udarbejde og prioritere milepæle og acceptkriterier for de tekniske udviklingsteams, samt sikre at milepæle opfylder brugerbehov, forretningsmål og markedskrav Vedligeholde produktets backlog og prioritere denne ift."
13,DRTV,"få ansvar for at:   Udvikle produktstrategien og sætte de overordnede mål for DRTV, så de understøtter DR’s virksomhedsstrategi Udarbejde og vedligeholde DRTV’s samlede strategiske roadmap, herunder sikre sammenhæng i roadmap på tværs af det brugervendte produkt og platform/CMS Udarbejde og prioritere milepæle og acceptkriterier for de tekniske udviklingsteams, samt sikre at milepæle opfylder brugerbehov, forretningsmål og markedskrav Vedligeholde produktets backlog og prioritere denne ift."
13,af det,"få ansvar for at:   Udvikle produktstrategien og sætte de overordnede mål for DRTV, så de understøtter DR’s virksomhedsstrategi Udarbejde og vedligeholde DRTV’s samlede strategiske roadmap, herunder sikre sammenhæng i roadmap på tværs af det brugervendte produkt og platform/CMS Udarbejde og prioritere milepæle og acceptkriterier for de tekniske udviklingsteams, samt sikre at milepæle opfylder brugerbehov, forretningsmål og markedskrav Vedligeholde produktets backlog og prioritere denne ift."
13,produkt og,"få ansvar for at:   Udvikle produktstrategien og sætte de overordnede mål for DRTV, så de understøtter DR’s virksomhedsstrategi Udarbejde og vedligeholde DRTV’s samlede strategiske roadmap, herunder sikre sammenhæng i roadmap på tværs af det brugervendte produkt og platform/CMS Udarbejde og prioritere milepæle og acceptkriterier for de tekniske udviklingsteams, samt sikre at milepæle opfylder brugerbehov, forretningsmål og markedskrav Vedligeholde produktets backlog og prioritere denne ift."
